"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"477",2016,"Louis Oosthuizen","29",3,0,70.121,45,24,64.97,297.4,4.47,66.01,"1,726.333",28.55,65.76,0.918,1.703
"478",2017,"Louis Oosthuizen","29",3,0,70.121,45,24,64.97,297.4,4.47,66.01,"1,726.333",28.55,65.76,0.918,1.703
"479",2018,"Louis Oosthuizen","29",3,0,70.121,45,24,64.97,297.4,4.47,66.01,"1,726.333",28.55,65.76,0.918,1.703
"480",2019,"Louis Oosthuizen","29",3,0,70.121,45,24,64.97,297.4,4.47,66.01,"1,726.333",28.55,65.76,0.918,1.703
"481",2016,"Lucas Glover","T97",2,0,70.859,60,23.31,62.77,294.8,4.64,66.67,"2,309.583",29.12,60,0.633,0.481
"482",2017,"Lucas Glover","T97",2,0,70.859,60,23.31,62.77,294.8,4.64,66.67,"2,309.583",29.12,60,0.633,0.481
"483",2018,"Lucas Glover","T97",2,0,70.859,60,23.31,62.77,294.8,4.64,66.67,"2,309.583",29.12,60,0.633,0.481
"484",2019,"Lucas Glover","T97",2,0,70.859,60,23.31,62.77,294.8,4.64,66.67,"2,309.583",29.12,60,0.633,0.481
"485",2016,"Luke Donald","212",0,0,72.323,32,16.13,55.83,288,4.72,65.97,"978.417",29.59,55.61,-1.117,-1.722
"486",2017,"Luke Donald","212",0,0,72.323,32,16.13,55.83,288,4.72,65.97,"978.417",29.59,55.61,-1.117,-1.722
"487",2018,"Luke Donald","212",0,0,72.323,32,16.13,55.83,288,4.72,65.97,"978.417",29.59,55.61,-1.117,-1.722
"488",2019,"Luke Donald","212",0,0,72.323,32,16.13,55.83,288,4.72,65.97,"978.417",29.59,55.61,-1.117,-1.722
"489",2016,"Luke List","65",2,0,71.348,57,24.42,54.02,312.5,4.54,66.67,"2,166.500",29.25,57.02,0.519,-0.049
"490",2017,"Luke List","65",2,0,71.348,57,24.42,54.02,312.5,4.54,66.67,"2,166.500",29.25,57.02,0.519,-0.049
"491",2018,"Luke List","65",2,0,71.348,57,24.42,54.02,312.5,4.54,66.67,"2,166.500",29.25,57.02,0.519,-0.049
"492",2019,"Luke List","65",2,0,71.348,57,24.42,54.02,312.5,4.54,66.67,"2,166.500",29.25,57.02,0.519,-0.049
"493",2016,"Mackenzie Hughes","140",3,0,71.192,56,18.37,59.12,293.5,4.54,63.68,"2,442.917",28.46,59.41,-0.723,-0.077
"494",2017,"Mackenzie Hughes","140",3,0,71.192,56,18.37,59.12,293.5,4.54,63.68,"2,442.917",28.46,59.41,-0.723,-0.077
"495",2018,"Mackenzie Hughes","140",3,0,71.192,56,18.37,59.12,293.5,4.54,63.68,"2,442.917",28.46,59.41,-0.723,-0.077
"496",2019,"Mackenzie Hughes","140",3,0,71.192,56,18.37,59.12,293.5,4.54,63.68,"2,442.917",28.46,59.41,-0.723,-0.077
"497",2016,"Marc Leishman","87",3,1,71.347,51,24.17,57.89,291.2,4.44,64.58,"1,954.917",28.4,62.75,0.249,0.243
"498",2017,"Marc Leishman","87",3,1,71.347,51,24.17,57.89,291.2,4.44,64.58,"1,954.917",28.4,62.75,0.249,0.243
"499",2018,"Marc Leishman","87",3,1,71.347,51,24.17,57.89,291.2,4.44,64.58,"1,954.917",28.4,62.75,0.249,0.243
"500",2019,"Marc Leishman","87",3,1,71.347,51,24.17,57.89,291.2,4.44,64.58,"1,954.917",28.4,62.75,0.249,0.243
