"","year","player_name","ranking","top_10","wins","score_average","rounds","bounce_back","driving_accuracy","driving_distance","par5_SA","gir","hole_proximity","putts_round","scramble","sg_t2g","sg_total"
"332",2019,"J.T. Poston","66",1,0,71.04,51,24.16,53.59,301.2,4.58,62.38,"2,487.667",28.56,55.69,-0.595,0.289
"333",2016,"James Hahn","39",4,0,70.676,44,19.42,64.22,299.4,4.59,70.58,"1,699.917",28.89,61.37,-0.084,0.472
"334",2017,"James Hahn","39",4,0,70.676,44,19.42,64.22,299.4,4.59,70.58,"1,699.917",28.89,61.37,-0.084,0.472
"335",2018,"James Hahn","39",4,0,70.676,44,19.42,64.22,299.4,4.59,70.58,"1,699.917",28.89,61.37,-0.084,0.472
"336",2019,"James Hahn","39",4,0,70.676,44,19.42,64.22,299.4,4.59,70.58,"1,699.917",28.89,61.37,-0.084,0.472
"337",2016,"Jamie Lovemark","179",0,0,72.116,34,20.39,48.94,302.4,4.73,62.75,"1,134.833",28.71,60.53,-0.785,-1.451
"338",2017,"Jamie Lovemark","179",0,0,72.116,34,20.39,48.94,302.4,4.73,62.75,"1,134.833",28.71,60.53,-0.785,-1.451
"339",2018,"Jamie Lovemark","179",0,0,72.116,34,20.39,48.94,302.4,4.73,62.75,"1,134.833",28.71,60.53,-0.785,-1.451
"340",2019,"Jamie Lovemark","179",0,0,72.116,34,20.39,48.94,302.4,4.73,62.75,"1,134.833",28.71,60.53,-0.785,-1.451
"341",2016,"Jason Day","142",2,0,70.847,48,17.7,60.61,300.3,4.65,66.3,"1,916.083",29.24,61.17,0.743,0.811
"342",2017,"Jason Day","142",2,0,70.847,48,17.7,60.61,300.3,4.65,66.3,"1,916.083",29.24,61.17,0.743,0.811
"343",2018,"Jason Day","142",2,0,70.847,48,17.7,60.61,300.3,4.65,66.3,"1,916.083",29.24,61.17,0.743,0.811
"344",2019,"Jason Day","142",2,0,70.847,48,17.7,60.61,300.3,4.65,66.3,"1,916.083",29.24,61.17,0.743,0.811
"345",2016,"Jason Dufner","187",0,0,71.828,48,20,61.94,284.3,4.7,64.58,"1,608.500",29.17,62.75,-0.411,-0.493
"346",2017,"Jason Dufner","187",0,0,71.828,48,20,61.94,284.3,4.7,64.58,"1,608.500",29.17,62.75,-0.411,-0.493
"347",2018,"Jason Dufner","187",0,0,71.828,48,20,61.94,284.3,4.7,64.58,"1,608.500",29.17,62.75,-0.411,-0.493
"348",2019,"Jason Dufner","187",0,0,71.828,48,20,61.94,284.3,4.7,64.58,"1,608.500",29.17,62.75,-0.411,-0.493
"349",2016,"Jason Kokrak","23",4,1,70.671,57,23.36,62.17,305.7,4.52,69.24,"2,146.917",28.87,55.52,0.672,1.243
"350",2017,"Jason Kokrak","23",4,1,70.671,57,23.36,62.17,305.7,4.52,69.24,"2,146.917",28.87,55.52,0.672,1.243
"351",2018,"Jason Kokrak","23",4,1,70.671,57,23.36,62.17,305.7,4.52,69.24,"2,146.917",28.87,55.52,0.672,1.243
